ID,Gene Symbol,Gene Title
1552421_a_at,CALR3,calreticulin 3
1552422_at,C10orf25,chromosome 10 open reading frame 25
1552423_at,ETV3,ets variant 3
1552424_at,KLHL10,kelch-like family member 10
1552425_a_at,KLHL10,kelch-like family member 10
1552426_a_at,TM2D3,TM2 domain containing 3
1552427_at,ZNF485,zinc finger protein 485
1552430_at,WDR17,WD repeat domain 17
1552432_at,MFSD6L,major facilitator superfamily domain containing 6-like
1552436_a_at,CDH23 /// LOC100653137,cadherin-related 23 /// cadherin-23-like
1552438_a_at,ANKAR,ankyrin and armadillo repeat containing
1552439_s_at,MEGF11,multiple EGF-like-domains 11
1552440_at,GPR182,G protein-coupled receptor 182
1552445_a_at,ESX1,ESX homeobox 1
1552448_a_at,C8orf12,chromosome 8 open reading frame 12
1552449_a_at,LOC653486 /// SCGB1C1,"secretoglobin, family 1C, member 1-like /// secretoglobin, family 1C, member 1"
1552450_a_at,DNAJC5G,"DnaJ (Hsp40) homolog, subfamily C, member 5 gamma"
1552452_at,WDR88,WD repeat domain 88
1552453_a_at,WDR88,WD repeat domain 88
1552455_at,PRUNE2,prune homolog 2 (Drosophila)
1552456_a_at,MBD3L2,methyl-CpG binding domain protein 3-like 2
1552457_a_at,ADAMTSL1,ADAMTS-like 1
1552458_at,MBD3L1,methyl-CpG binding domain protein 3-like 1
1552459_a_at,MBD3L1,methyl-CpG binding domain protein 3-like 1
1552461_at,FAM46D,"family with sequence similarity 46, member D"
1552463_at,SERPINB11,"serpin peptidase inhibitor, clade B (ovalbumin), member 11 (gene/pseudogene)"
1552466_x_at,LINC00161,long intergenic non-protein coding RNA 161
1552467_at,DSCR10,Down syndrome critical region gene 10 (non-protein coding)
1552468_a_at,DSCR10,Down syndrome critical region gene 10 (non-protein coding)
1552470_a_at,ABHD11,abhydrolase domain containing 11
1552472_a_at,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
1552473_at,GAMT,guanidinoacetate N-methyltransferase
1552474_a_at,GAMT,guanidinoacetate N-methyltransferase
1552476_s_at,PLCD3,"phospholipase C, delta 3"
1552477_a_at,IRF6,interferon regulatory factor 6
1552478_a_at,IRF6,interferon regulatory factor 6
1552480_s_at,PTPRC,"protein tyrosine phosphatase, receptor type, C"
1552481_s_at,MAN1A2,"mannosidase, alpha, class 1A, member 2"
1552482_at,RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
1552484_at,SMCR8,"Smith-Magenis syndrome chromosome region, candidate 8"
1552485_at,LACTB,"lactamase, beta"
1552486_s_at,LACTB,"lactamase, beta"
1552487_a_at,BNC1,basonuclin 1
1552489_s_at,MPP4,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"
1552490_at,LACE1,lactation elevated 1
1552491_at,IDI2,isopentenyl-diphosphate delta isomerase 2
1552493_s_at,CYP11B1,"cytochrome P450, family 11, subfamily B, polypeptide 1"
1552494_at,TAF8,"TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa"
1552496_a_at,COBL,cordon-bleu WH2 repeat protein
1552497_a_at,SLAMF6,SLAM family member 6
1552498_at,ZSCAN20,zinc finger and SCAN domain containing 20
1552499_a_at,ZSCAN20,zinc finger and SCAN domain containing 20
1552501_a_at,GPBAR1,G protein-coupled bile acid receptor 1
1552502_s_at,RHBDL2,"rhomboid, veinlet-like 2 (Drosophila)"
1552503_at,FRAS1,Fraser extracellular matrix complex subunit 1
1552504_a_at,BRSK1,BR serine/threonine kinase 1
1552506_at,CRB2,crumbs family member 2
1552507_at,KCNE4,"potassium voltage-gated channel, Isk-related family, member 4"
1552508_at,KCNE4,"potassium voltage-gated channel, Isk-related family, member 4"
1552509_a_at,CD300LG,CD300 molecule-like family member g
1552510_at,SLC34A3,"solute carrier family 34 (type II sodium/phosphate contransporter), member 3"
1552511_a_at,CPA6,carboxypeptidase A6
1552514_at,WBP2NL,WBP2 N-terminal like
1552515_at,HIPK1,homeodomain interacting protein kinase 1
1552516_a_at,HIPK1,homeodomain interacting protein kinase 1
1552518_s_at,MTBP,MDM2 binding protein
1552519_at,ACVR1C,"activin A receptor, type IC"
1552520_at,TMEM74,transmembrane protein 74
1552521_a_at,TMEM74,transmembrane protein 74
1552522_at,TIGD4,tigger transposable element derived 4
1552523_a_at,TIGD4,tigger transposable element derived 4
1552524_at,ART5,ADP-ribosyltransferase 5
1552526_at,FAM71C,"family with sequence similarity 71, member C"
1552528_at,C21orf67,chromosome 21 open reading frame 67
1552531_a_at,NLRP11,"NLR family, pyrin domain containing 11"
1552532_a_at,ATP6V1C2,"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2"
1552535_at,CLDN19,claudin 19
1552536_at,VTI1A,vesicle transport through interaction with t-SNAREs 1A
1552538_a_at,KIF6,kinesin family member 6
1552540_s_at,IQCD,IQ motif containing D
1552541_at,TAGAP,T-cell activation RhoGTPase activating protein
1552542_s_at,TAGAP,T-cell activation RhoGTPase activating protein
1552543_a_at,STON2,stonin 2
1552544_at,SERPINA12,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12"
1552546_a_at,LETM2,leucine zipper-EF-hand containing transmembrane protein 2
1552548_at,BSND,barttin CLCNK-type chloride channel accessory beta subunit
1552549_a_at,BSND,barttin CLCNK-type chloride channel accessory beta subunit
1552552_s_at,CLEC4C,"C-type lectin domain family 4, member C"
1552553_a_at,NLRC4,"NLR family, CARD domain containing 4"
1552554_a_at,NLRC4,"NLR family, CARD domain containing 4"
1552555_at,PRSS36,"protease, serine, 36"
1552557_a_at,ZDHHC15,"zinc finger, DHHC-type containing 15"
1552558_a_at,RAI1,retinoic acid induced 1
1552559_a_at,CDK15,cyclin-dependent kinase 15
1552562_at,ZNF570,zinc finger protein 570
1552563_a_at,AF131215.4,
1552564_at,NUDT9P1,nudix (nucleoside diphosphate linked moiety X)-type motif 9 pseudogene 1
1552566_at,BTBD16,BTB (POZ) domain containing 16
1552568_at,RTP3,receptor (chemosensory) transporter protein 3
1552569_a_at,RTP3,receptor (chemosensory) transporter protein 3
1552570_at,TSPEAR,thrombospondin-type laminin G domain and EAR repeats
1552572_a_at,MIPOL1,mirror-image polydactyly 1
1552573_s_at,MIPOL1,mirror-image polydactyly 1
1552575_a_at,C6orf141,chromosome 6 open reading frame 141
1552576_at,ALMS1P,Alstrom syndrome 1 pseudogene
1552578_a_at,MYO3B,myosin IIIB
1552579_a_at,ADAM21,ADAM metallopeptidase domain 21
1552580_at,TRIML2,tripartite motif family-like 2
1552582_at,ABCC13,"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene"
1552583_s_at,ABCC13,"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene"
1552584_at,IL12RB1,"interleukin 12 receptor, beta 1"
1552585_s_at,GTF2A1L,"general transcription factor IIA, 1-like"
1552586_at,TRPV3,"transient receptor potential cation channel, subfamily V, member 3"
1552587_at,CNBD1,cyclic nucleotide binding domain containing 1
1552588_a_at,CNBD1,cyclic nucleotide binding domain containing 1
1552590_a_at,ABCC12,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"
1552592_at,MMP21,matrix metallopeptidase 21
1552594_at,TMEM190,transmembrane protein 190
1552596_at,GAS2L2,growth arrest-specific 2 like 2
1552598_at,KCNG4,"potassium voltage-gated channel, subfamily G, member 4"
1552599_at,PXT1,"peroxisomal, testis specific 1"
1552602_at,CACNG5,"calcium channel, voltage-dependent, gamma subunit 5"
1552604_at,LINC00308,long intergenic non-protein coding RNA 308
1552605_s_at,LINC00308,long intergenic non-protein coding RNA 308
1552607_at,FAM223A /// FAM223B,"family with sequence similarity 223, member A (non-protein coding) /// family with sequence similarity 223, member B (non-protein coding)"
1552608_at,WFDC11,WAP four-disulfide core domain 11
1552609_s_at,IFNL2 /// IFNL3,"interferon, lambda 2 /// interferon, lambda 3"
1552610_a_at,JAK1,Janus kinase 1
1552611_a_at,JAK1,Janus kinase 1
1552612_at,CDC42SE2,CDC42 small effector 2
1552613_s_at,CDC42SE2,CDC42 small effector 2
1552615_at,ACACB,acetyl-CoA carboxylase beta
1552616_a_at,ACACB,acetyl-CoA carboxylase beta
1552617_a_at,RFWD2,"ring finger and WD repeat domain 2, E3 ubiquitin protein ligase"
1552618_at,STX6,syntaxin 6
1552619_a_at,ANLN,"anillin, actin binding protein"
1552620_at,SPRR4,small proline-rich protein 4
1552621_at,POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,"polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa /// polymerase (RNA) II (DNA directed) polypeptide J2 /// polymerase (RNA) II (DNA directed) polypeptide J3 /// uroplakin 3B-like"
1552622_s_at,LOC441259 /// POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,"postmeiotic segregation increased 2 pseudogene /// polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa /// polymerase (RNA) II (DNA directed) polypeptide J2 /// polymerase (RNA) II (DNA directed) polypeptide J3 /// uroplakin 3B-like"
1552623_at,HSH2D,hematopoietic SH2 domain containing
1552625_a_at,TRNT1,"tRNA nucleotidyl transferase, CCA-adding, 1"
1552626_a_at,TMEM163,transmembrane protein 163
1552627_a_at,ARHGAP5,Rho GTPase activating protein 5
1552628_a_at,HERPUD2,HERPUD family member 2
1552629_a_at,JMJD6,jumonji domain containing 6
1552630_a_at,SRCAP,Snf2-related CREBBP activator protein
1552631_a_at,MAP3K6,mitogen-activated protein kinase kinase kinase 6
1552632_a_at,ARSG,arylsulfatase G
1552633_at,ZNF101,zinc finger protein 101
1552634_a_at,ZNF101,zinc finger protein 101
1552637_at,PTPN11,"protein tyrosine phosphatase, non-receptor type 11"
1552639_at,KLHDC7B,kelch domain containing 7B
1552641_s_at,ATAD3A /// ATAD3B,"ATPase family, AAA domain containing 3A /// ATPase family, AAA domain containing 3B"
1552643_at,ZNF626,zinc finger protein 626
1552644_a_at,PHC3,polyhomeotic homolog 3 (Drosophila)
1552646_at,IL11RA,"interleukin 11 receptor, alpha"
1552648_a_at,TNFRSF10A,"tumor necrosis factor receptor superfamily, member 10a"
1552649_a_at,RAD51L3-RFFL /// RFFL,RAD51L3-RFFL readthrough /// ring finger and FYVE-like domain containing E3 ubiquitin protein ligase
1552651_a_at,RAD51L3-RFFL /// RFFL,RAD51L3-RFFL readthrough /// ring finger and FYVE-like domain containing E3 ubiquitin protein ligase
1552652_at,HPS4,Hermansky-Pudlak syndrome 4
1552656_s_at,UHMK1,U2AF homology motif (UHM) kinase 1
1552657_a_at,TXNDC2,thioredoxin domain containing 2 (spermatozoa)
1552658_a_at,NAV3,neuron navigator 3
1552660_a_at,C5orf22,chromosome 5 open reading frame 22
1552661_at,PCDHGB7,"protocadherin gamma subfamily B, 7"
1552662_a_at,PCDHGB7,"protocadherin gamma subfamily B, 7"
1552663_a_at,ERC1,ELKS/RAB6-interacting/CAST family member 1
1552664_at,FLCN,folliculin
1552665_at,JMJD1C-AS1,JMJD1C antisense RNA 1
1552666_a_at,LRRC7,leucine rich repeat containing 7
1552667_a_at,SH2D3C,SH2 domain containing 3C
1552669_at,PPP1R3B,"protein phosphatase 1, regulatory subunit 3B"
1552670_a_at,PPP1R3B,"protein phosphatase 1, regulatory subunit 3B"
1552671_a_at,SLC9A7,"solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7"
1552672_a_at,IGSF3,"immunoglobulin superfamily, member 3"
1552673_at,RFX6,"regulatory factor X, 6"
1552674_at,DIRC1,disrupted in renal carcinoma 1
1552675_at,DNAJB7,"DnaJ (Hsp40) homolog, subfamily B, member 7"
1552676_at,UCN3,urocortin 3
1552677_a_at,DIP2A,DIP2 disco-interacting protein 2 homolog A (Drosophila)
1552678_a_at,USP28,ubiquitin specific peptidase 28
1552680_a_at,CASC5,cancer susceptibility candidate 5
1552682_a_at,CASC5,cancer susceptibility candidate 5
1552684_a_at,SENP8,SUMO/sentrin specific peptidase family member 8
1552685_a_at,GRHL1,grainyhead-like 1 (Drosophila)
1552686_at,CNBD2,cyclic nucleotide binding domain containing 2
1552687_a_at,CNBD2,cyclic nucleotide binding domain containing 2
1552689_at,CASKIN1,CASK interacting protein 1
1552690_a_at,CACNA2D4,"calcium channel, voltage-dependent, alpha 2/delta subunit 4"
1552691_at,ARL11,ADP-ribosylation factor-like 11
1552693_at,ARL11,ADP-ribosylation factor-like 11
1552694_at,SLC2A13,"solute carrier family 2 (facilitated glucose transporter), member 13"
1552695_a_at,SLC2A13,"solute carrier family 2 (facilitated glucose transporter), member 13"
1552696_at,NIPA1,non imprinted in Prader-Willi/Angelman syndrome 1
1552698_at,TUBA3FP,"tubulin, alpha 3f, pseudogene"
1552701_a_at,CARD16,"caspase recruitment domain family, member 16"
1552703_s_at,CARD16 /// CASP1,"caspase recruitment domain family, member 16 /// caspase 1, apoptosis-related cysteine peptidase"
1552705_at,DUSP19,dual specificity phosphatase 19
1552708_a_at,DUSP19,dual specificity phosphatase 19
1552711_a_at,CYB5D1,cytochrome b5 domain containing 1
1552712_a_at,NMNAT2,nicotinamide nucleotide adenylyltransferase 2
1552713_a_at,SLC4A1,"solute carrier family 4 (anion exchanger), member 1 (Diego blood group)"
1552714_at,CREG2,cellular repressor of E1A-stimulated genes 2
1552715_a_at,RXFP1,relaxin/insulin-like family peptide receptor 1
1552716_at,SPEF2,sperm flagellar 2
1552717_s_at,CEP170 /// CEP170P1,centrosomal protein 170kDa /// centrosomal protein 170kDa pseudogene 1
1552718_at,DTD1,D-tyrosyl-tRNA deacylase 1
1552719_at,CASC4,cancer susceptibility candidate 4
1552721_a_at,FGF1,fibroblast growth factor 1 (acidic)
1552722_at,ARPP21,"cAMP-regulated phosphoprotein, 21kDa"
1552724_at,RHOXF1,"Rhox homeobox family, member 1"
1552725_s_at,ADAMTS17,"ADAM metallopeptidase with thrombospondin type 1 motif, 17"
1552726_at,ADAMTS17,"ADAM metallopeptidase with thrombospondin type 1 motif, 17"
1552727_s_at,ADAMTS17,"ADAM metallopeptidase with thrombospondin type 1 motif, 17"
1552729_at,SNHG7 /// SNORA17 /// SNORA43,"small nucleolar RNA host gene 7 (non-protein coding) /// small nucleolar RNA, H/ACA box 17 /// small nucleolar RNA, H/ACA box 43"
1552730_at,DHH,desert hedgehog
1552731_at,ABRA,actin-binding Rho activating protein
1552732_at,ABRA,actin-binding Rho activating protein
1552733_at,KLHDC1,kelch domain containing 1
1552734_at,RICTOR,"RPTOR independent companion of MTOR, complex 2"
1552735_at,PCDHGA4,"protocadherin gamma subfamily A, 4"
1552736_a_at,NETO1,neuropilin (NRP) and tolloid (TLL)-like 1
1552737_s_at,WWP2,WW domain containing E3 ubiquitin protein ligase 2
1552738_a_at,ST7L,suppression of tumorigenicity 7 like
1552739_s_at,ST7L,suppression of tumorigenicity 7 like
1552740_at,C2orf15,chromosome 2 open reading frame 15
1552742_at,KCNH8,"potassium voltage-gated channel, subfamily H (eag-related), member 8"
1552743_at,MCF2L,MCF.2 cell line derived transforming sequence-like
1552745_at,SLCO6A1,"solute carrier organic anion transporter family, member 6A1"
1552747_a_at,PP2D1,protein phosphatase 2C-like domain containing 1
1552749_a_at,KLC3,kinesin light chain 3
1552750_at,CIB3,calcium and integrin binding family member 3
1552751_a_at,CIB3,calcium and integrin binding family member 3
1552752_a_at,CADM2,cell adhesion molecule 2
1552754_a_at,CADM2,cell adhesion molecule 2
1552755_at,C9orf66,chromosome 9 open reading frame 66
1552757_s_at,C9orf66,chromosome 9 open reading frame 66
1552758_at,HDAC9,histone deacetylase 9
1552760_at,HDAC9,histone deacetylase 9
1552761_at,SLC16A11,"solute carrier family 16, member 11"
1552763_at,TMEM67,transmembrane protein 67
1552765_x_at,TMEM67,transmembrane protein 67
1552766_at,HS6ST2,heparan sulfate 6-O-sulfotransferase 2
1552767_a_at,HS6ST2,heparan sulfate 6-O-sulfotransferase 2
1552768_at,CAMKK1,"calcium/calmodulin-dependent protein kinase kinase 1, alpha"
1552769_at,ZNF625,zinc finger protein 625
1552770_s_at,ZNF563,zinc finger protein 563
1552771_a_at,LIN9,lin-9 homolog (C. elegans)
1552772_at,CLEC4D,"C-type lectin domain family 4, member D"
1552773_at,CLEC4D,"C-type lectin domain family 4, member D"
1552774_a_at,SLC25A27,"solute carrier family 25, member 27"
1552775_at,GPRC6A,"G protein-coupled receptor, class C, group 6, member A"
1552777_a_at,RAET1E,retinoic acid early transcript 1E
1552779_a_at,SLC44A5,"solute carrier family 44, member 5"
1552782_at,SLC44A5,"solute carrier family 44, member 5"
1552783_at,ZNF417,zinc finger protein 417
1552785_at,ZNF781,zinc finger protein 781
1552787_at,HELB,helicase (DNA) B
1552788_a_at,HELB,helicase (DNA) B
1552789_at,SEC62,SEC62 homolog (S. cerevisiae)
1552790_a_at,SEC62,SEC62 homolog (S. cerevisiae)
1552791_a_at,TRDN,triadin
1552792_at,SOCS4,suppressor of cytokine signaling 4
1552793_at,C8orf31,chromosome 8 open reading frame 31
1552794_a_at,ZNF547,zinc finger protein 547
1552796_a_at,SIM1,single-minded family bHLH transcription factor 1
1552797_s_at,PROM2,prominin 2
1552798_a_at,TLR4,toll-like receptor 4
1552799_at,TSNARE1,t-SNARE domain containing 1
1552800_at,ABHD11,abhydrolase domain containing 11
1552801_at,CAPN13,calpain 13
1552803_a_at,STMN1,stathmin 1
1552804_a_at,TIRAP,toll-interleukin 1 receptor (TIR) domain containing adaptor protein
1552806_a_at,SIGLEC10,sialic acid binding Ig-like lectin 10
1552807_a_at,SIGLEC10,sialic acid binding Ig-like lectin 10
1552808_at,ADAMTSL1,ADAMTS-like 1
1552809_at,RFX4,"regulatory factor X, 4 (influences HLA class II expression)"
1552811_at,WFIKKN1,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"
1552812_a_at,SENP1,SUMO1/sentrin specific peptidase 1
1552813_at,KLF14,Kruppel-like factor 14
1552814_a_at,KLF14,Kruppel-like factor 14
1552816_at,NXNL2,nucleoredoxin-like 2
1552818_a_at,BRS3,bombesin-like receptor 3
1552819_at,LINC00205 /// LOC102723489 /// LOC102725097,long intergenic non-protein coding RNA 205 /// putative uncharacterized protein encoded by LINC00205-like /// putative uncharacterized protein encoded by LINC00205-like
1552822_at,TMX3,thioredoxin-related transmembrane protein 3
1552825_at,ZNF396,zinc finger protein 396
1552826_at,SLC26A7,"solute carrier family 26 (anion exchanger), member 7"
1552827_s_at,SLC26A7,"solute carrier family 26 (anion exchanger), member 7"
1552828_at,SNX18,sorting nexin 18
1552829_at,,
1552830_at,FBXO39,F-box protein 39
1552833_at,B3GNT6,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase)"
1552834_at,B3GNT6,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase)"
1552835_at,DENND1B,DENN/MADD domain containing 1B
1552836_at,ZNF619,zinc finger protein 619
1552837_at,ICK,intestinal cell (MAK-like) kinase
1552839_at,FAM71D,"family with sequence similarity 71, member D"
1552841_s_at,BCL2L14,BCL2-like 14 (apoptosis facilitator)
1552842_at,HS6ST3,heparan sulfate 6-O-sulfotransferase 3
1552843_at,SLC26A1,"solute carrier family 26 (anion exchanger), member 1"
1552845_at,CLDN15,claudin 15
1552846_s_at,RAB42,"RAB42, member RAS oncogene family"
1552848_a_at,PTCHD1,patched domain containing 1
1552849_at,M1AP,meiosis 1 associated protein
1552851_at,ZSCAN4,zinc finger and SCAN domain containing 4
1552852_a_at,ZSCAN4,zinc finger and SCAN domain containing 4
1552853_at,VWA5B1,von Willebrand factor A domain containing 5B1
1552854_a_at,VWA5B1,von Willebrand factor A domain containing 5B1
1552856_at,LINC00311,long intergenic non-protein coding RNA 311
1552857_a_at,HTR6,"5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled"
1552858_at,MAGEB6,"melanoma antigen family B, 6"
1552860_at,LOC101060464 /// LOC101929858 /// LOC101930165 /// LOC101930171 /// TCEB3C /// TCEB3CL /// TCEB3CL2,RNA polymerase II transcription factor SIII subunit A3-like /// RNA polymerase II transcription factor SIII subunit A3-like /// RNA polymerase II transcription factor SIII subunit A3-like /// RNA polymerase II transcription factor SIII subunit A3-like /// transcription elongation factor B polypeptide 3C (elongin A3) /// transcription elongation factor B polypeptide 3C-like /// transcription elongation factor B polypeptide 3C-like 2
